Title,Price,Area,Location,Price_num,Area_num,Region,Rooms,UnitPrice
整租·龙光玖钻 2室1厅 西北,4700元/月,37.88㎡,龙华区 - 红山 - 龙光玖钻,4700,37.88,龙华区,2室1厅,124.07602956705385
整租·启迪协信科技园 2室2厅 东南,3800元/月,66.59㎡,龙岗区 - 大运新城 - 启迪协信科技园,3800,66.59,龙岗区,2室2厅,57.06562546928968
独栋·招商品牌公寓 壹间槟榔园二期 【毕业生特惠】95折加送四件套 1室1厅,5331元/月,39.00㎡,未提供住址,5331,39.0,未知区域,1室1厅,136.69230769230768
整租·联城美园 1室1厅 西北,4100元/月,37.48㎡,罗湖区 - 春风路 - 联城美园,4100,37.48,罗湖区,1室1厅,109.39167556029884
独栋·招商品牌公寓 壹间·网谷 【蛇口好房】 山景远眺海景 年租95折 近海上世界/来福士/深圳湾天然氧吧 开间,4832-5200元/月,37.00㎡,未提供住址,4832,37.0,未知区域,未提取,130.59459459459458
整租·东方半岛花园A区 2室2厅 东北,3400元/月,78.00㎡,龙岗区 - 布吉大芬 - 东方半岛花园A区,3400,78.0,龙岗区,2室2厅,43.58974358974359
整租·峰度天下 5室2厅 南,10000元/月,168.00㎡,罗湖区 - 新秀 - 峰度天下,10000,168.0,罗湖区,5室2厅,59.523809523809526
独栋·招商品牌公寓 壹间·网谷 【南山蛇口】 毕业生可押一 半年起租 阳台单间 开间,4832元/月,37.00㎡,未提供住址,4832,37.0,未知区域,未提取,130.59459459459458
整租·佳兆业时代大厦 1室1厅 北,2250元/月,46.54㎡,龙岗区 - 大运新城 - 佳兆业时代大厦,2250,46.54,龙岗区,1室1厅,48.34550923936399
独栋·招商品牌公寓 壹间·网谷 【地铁口400米】 毕业生押一付一 首次出租 独立阳台 俯瞰南山 开间,4832-5200元/月,37.00㎡,未提供住址,4832,37.0,未知区域,未提取,130.59459459459458
整租·四海公寓 2室1厅 西,6500元/月,47.93㎡,南山区 - 蛇口 - 四海公寓,6500,47.93,南山区,2室1厅,135.61443772167743
整租·合正锦湖魅力城 1室1厅 西南,3500元/月,39.11㎡,罗湖区 - 洪湖 - 合正锦湖魅力城,3500,39.11,罗湖区,1室1厅,89.49117872666837
独栋·都市漫生活 珠光店 【毕业生特惠】万科云城省心租精选房源！独栋园区阳台单间 1室1厅,3580元/月,35.00㎡,未提供住址,3580,35.0,未知区域,1室1厅,102.28571428571429
整租·东方玫瑰花园 3室2厅 东,16500元/月,146.00㎡,福田区 - 景田 - 东方玫瑰花园,16500,146.0,福田区,3室2厅,113.01369863013699
独栋·都市漫生活 珠光店 【毕业生特惠】7号线珠光站400米独栋园区阳台单间 1室1厅,3480元/月,35.00㎡,未提供住址,3480,35.0,未知区域,1室1厅,99.42857142857143
整租·东都花园一期一区 2室2厅 南,3200元/月,80.00㎡,龙岗区 - 龙岗中心城 - 东都花园一期一区,3200,80.0,龙岗区,2室2厅,40.0
独栋·都市漫生活 珠光店 【毕业生特惠】七号线珠光站400米独栋阳台单间 1室1厅,3480元/月,35.00㎡,未提供住址,3480,35.0,未知区域,1室1厅,99.42857142857143
整租·深蓝公寓 1室1厅 南,5600元/月,38.76㎡,南山区 - 后海 - 深蓝公寓,5600,38.76,南山区,1室1厅,144.47884416924666
独栋·都市漫生活 官龙村店 【业主直租免佣】精致阳台 1室1厅,3280元/月,35.00㎡,未提供住址,3280,35.0,未知区域,1室1厅,93.71428571428571
整租·万科千林山居一期（万科清林径） 1室1厅 南,2200元/月,53.02㎡,龙岗区 - 龙岗中心城 - 万科千林山居一期（万科清林径）,2200,53.02,龙岗区,1室1厅,41.49377593360995
独栋·都市漫生活 官龙村店 新开业！西丽地铁站万科云城基地独栋阳台单间 1室1厅,2980元/月,35.00㎡,未提供住址,2980,35.0,未知区域,1室1厅,85.14285714285714
整租·鹏兴花园二期 3室2厅 北,8800元/月,103.61㎡,罗湖区 - 莲塘 - 鹏兴花园二期,8800,103.61,罗湖区,3室2厅,84.9338866904739
独栋·都市漫生活 官龙村店 【直租免佣】全景落地窗 1室1厅,3580元/月,38.00㎡,未提供住址,3580,38.0,未知区域,1室1厅,94.21052631578948
整租·鹏兴花园二期 4室2厅 南/北,7300元/月,125.49㎡,罗湖区 - 莲塘 - 鹏兴花园二期,7300,125.49,罗湖区,4室2厅,58.17196589369671
独栋·都市漫生活 官龙村店 房东直租无中介！ 留仙洞大疆创智云城高端独栋落地窗单间 1室1厅,3580元/月,35.00㎡,未提供住址,3580,35.0,未知区域,1室1厅,102.28571428571429
独栋·都市漫生活 官龙村店 【应届生专属】特惠落地窗 1室1厅,3080元/月,30.00㎡,未提供住址,3080,30.0,未知区域,1室1厅,102.66666666666667
独栋·深业有居 科技园店 深业直营公寓，近科兴讯美13号线高新中站B口，20分直达深圳湾口岸，一房一厅39平【可养猫、可短租】 1室1厅,5350元/月,39.00㎡,未提供住址,5350,39.0,未知区域,1室1厅,137.17948717948718
独栋·深业有居 科技园店 国企直营公寓，复式两房两卫距科兴、讯美100米，13号高新中站B口50米，押一付一，可长租、可短租 2室1厅,6450-6490元/月,49.00㎡,未提供住址,6450,49.0,未知区域,2室1厅,131.6326530612245
独栋·金地金谷公寓 龙井店 毕业季 可短租 方大城景观房 开间,2820-3320元/月,35.00㎡,未提供住址,2820,35.0,未知区域,未提取,80.57142857142857
独栋·金地金谷公寓 龙井店 毕业季 可短租三个月 限时特价房限量小loft 开间,1600元/月,18.00㎡,未提供住址,1600,18.0,未知区域,未提取,88.88888888888889
