Title,Price,Area,Location
整租·新地中央花园 2室2厅 东北,3500元/月,N/A,N/A
整租·星河世纪 2室1厅 东,7210元/月,N/A,N/A
独栋·招商品牌公寓 壹间槟榔园二期 【毕业生特惠】95折加送四件套 1室1厅,5331元/月,N/A,N/A
整租·中粮祥云 1室1厅 东南,2300元/月,N/A,N/A
独栋·招商品牌公寓 壹间·网谷 【地铁口400米】 毕业生押一付一 首次出租 独立阳台 俯瞰南山 开间,4832-5200元/月,N/A,N/A
整租·金沙花园 2室1厅 复式 南,4500元/月,N/A,N/A
整租·丽湖花园二期 2室2厅 南/北,2500元/月,N/A,N/A
独栋·湾年公寓 四海店 北欧单间 近花园城 网谷 来福士 恒大 开间,4500元/月,N/A,N/A
整租·蜜园 1室0厅 南,3900元/月,N/A,N/A
独栋·湾年公寓 四海店 （加）半年起租 四海地铁口 一房一厅 近深圳湾口岸 花园城 开间,5000元/月,N/A,N/A
整租·金鼎大厦 2室1厅 北,5000元/月,N/A,N/A
整租·深房传麒尚林 2室1厅 南,2400元/月,N/A,N/A
独栋·鑫茂鑫海公寓 鑫茂B栋 近福田大单间，免租30天管理费8.5折，燃气做饭，停车方便 押一 开间,2600元/月,N/A,N/A
整租·雅乐居 1室0厅 西北,2400元/月,N/A,N/A
独栋·华丰美寓 华丰国际机器人产业园店 固戍地铁口·舒适温馨小单间！租金9折手慢无！ 开间,1880元/月,N/A,N/A
整租·振业梅苑 2室2厅 南,6500元/月,N/A,N/A
独栋·魔方公寓 微客深圳银田站店 长租优惠大 近沃尔玛 特惠可押一付一可短租 1室1厅,2300元/月,N/A,N/A
整租·韵动家园 1室1厅 西,4300元/月,N/A,N/A
独栋·星窝青年公寓 坂田天虹店二期 坂田北特价采光单人间 开间,1350元/月,N/A,N/A
整租·赛格ECO中心 2室1厅 东南,3600元/月,N/A,N/A
独栋·华润置地·有巢公寓 有巢新城宝安机场店-40号楼 长签10月起·福围地铁400m· 押一付一·民用水电长租免15天·央企旗下直租无中介费 开间,999-1180元/月,N/A,N/A
整租·嘉洲富苑 2室1厅 东北,5500元/月,N/A,N/A
独栋·华润置地·有巢公寓 有巢新城宝安机场店-40号楼 月底秒杀房特价捡漏阳光独居小单间押一付一福围地铁站·央企旗下直租无中介费 开间,1012-1195元/月,N/A,N/A
整租·嘉隆星苑 3室2厅 南,6800元/月,N/A,N/A
独栋·星窝青年公寓 鸿荣源博誉府店 地铁口超值一房 1室1厅,2399元/月,N/A,N/A
独栋·华润置地·有巢公寓 有巢新城宝安机场店-40号楼 福围地铁站超便宜好闺蜜精装特惠两房 来访立减租金200元长租免租15天 2室0厅,1300元/月,N/A,N/A
独栋·华润置地·有巢公寓 有巢新城宝安机场店-42号楼 特价捡漏福围地铁站400m· 押一付一·民用水电· 生活便利 配套齐全 公寓直租 免管理费 开间,799-1091元/月,N/A,N/A
独栋·华润置地·有巢公寓 有巢新城宝安机场店-42号楼 步梯2房·押一付一·支持短租两个月起·福围地铁400m· 民用水电·拎包入住 2室0厅,1409元/月,N/A,N/A
独栋·星窝青年公寓 鸿荣源博誉府店 公寓的装修，民房的价格 开间,1450元/月,N/A,N/A
独栋·星窝青年公寓 鸿荣源博誉府店 地铁50米超大一房 1室1厅,3299元/月,N/A,N/A
